Key,Type,Desc,Chinese(Simplified),Chinese(Traditional),English,French,Japanese,Korean,Spanish,German,Portuguese(Brazil),Russian,Italian
6/guide/4,Text,Guide,拿起桌上的钥匙。,拿起桌上的鑰匙。,Pick up the key on the table.,Prends la clé sur la table.,机の上の鍵を拾おう。,탁자 위의 열쇠를 집으세요.,Recoge la llave de la mesa.,Nimm den Schlüssel vom Tisch.,Pegue a chave na mesa.,Возьми ключ со стола.,Prendi la chiave sul tavolo.
6/guide/5,Text,Guide,在你的物品栏中选中钥匙。,在你的物品欄中選中鑰匙。,Select the key from your inventory.,Sélectionne la clé dans ton inventaire.,アイテム欄から鍵を選んで。,인벤토리에서 열쇠를 선택하세요.,Selecciona la llave en tu inventario.,Wähle den Schlüssel in deinem Inventar aus.,Selecione a chave no seu inventário.,Выбери ключ в инвентаре.,Seleziona la chiave nel tuo inventario.
6/guide/6,Text,Guide,使用钥匙打开箱子。,使用鑰匙打開箱子。,Use the key to open the chest.,Utilise la clé pour ouvrir le coffre.,鍵を使って箱を開けよう。,열쇠를 사용하여 상자를 여세요.,Usa la llave para abrir el cofre.,"Benutze den Schlüssel, um die Truhe zu öffnen.",Use a chave para abrir o baú.,"Используй ключ, чтобы открыть сундук.",Usa la chiave per aprire il baule.
6/guide/7,Text,Guide,拿取箱子里的手套。,拿取箱子裡的手套。,Take the gloves from the chest.,Prends les gants dans le coffre.,箱の中の手袋を手に入れよう。,상자 안의 장갑을 챙기세요.,Coge los guantes del cofre.,Nimm die Handschuhe aus der Truhe.,Pegue as luvas no baú.,Возьми перчатки из сундука.,Prendi i guanti dal baule.
6/guide/8,Text,Guide,回到车头控制住马儿吧。,回到車頭控制住馬兒吧。,Go back to the front and control the horses.,Retourne à l'avant et maîtrise les chevaux.,車の前方に戻り、馬を御そう。,마차 앞쪽으로 돌아가 말을 진정시키세요.,Vuelve a la parte delantera y controla a los caballos.,Geh zurück nach vorne und bring die Pferde unter Kontrolle.,Volte para a frente e controle os cavalos.,Вернись к передней части и возьми управление лошадьми.,Torna davanti e controlla i cavalli.
6/guide/9,Text,Guide,这个抽屉里面我记得有很重要的东西。,這個抽屜裡面我記得有很重要的事情。,I remember there's something important in this drawer.,Je me souviens qu'il y a quelque chose d'important dans ce tiroir.,この引き出しには、大事なものが入っていたはずだ。,이 서랍 안에 중요한 물건이 있었던 것 같아요.,Recuerdo que hay algo importante en este cajón.,"Ich erinnere mich, dass in dieser Schublade etwas Wichtiges ist.",Lembro que tem algo importante nesta gaveta.,"Помню, в этом ящике лежит что-то важное.",Ricordo che c'è qualcosa di importante in questo cassetto.
6/guide/10,Text,Guide,密码吗？我好像不记得了。尝试一下提示吧。,密碼嗎？我好像不記得了。嘗試一下提示吧。,A password? I don't seem to remember. Let's try a hint.,Un mot de passe ? Je ne m'en souviens plus. Essayons un indice.,パスワード？思い出せないな。ヒントを見てみよう。,비밀번호요? 기억이 안 나네요. 힌트를 확인해 봐야겠어요.,¿Una contraseña? No la recuerdo. Probemos con una pista.,Ein Passwort? Ich kann mich nicht erinnern. Versuchen wir es mit einem Hinweis.,Uma senha? Não consigo me lembrar. Vamos tentar uma dica.,"Пароль? Кажется, я не помню. Давай посмотрим подсказку.",Una password? Non me la ricordo. Proviamo con un indizio.
6/guide/11,Text,Guide,如果你被卡住，点击可以显示提示。,如果你被卡住，點擊可以顯示提示。,"If you get stuck, tap to reveal a hint.","Si tu es coincé, touche pour afficher un indice.",行き詰まったら、タップしてヒントを表示しよう。,막히면 탭 하여 힌트를 볼 수 있습니다.,"Si te atascas, toca para mostrar una pista.","Wenn du nicht weiterkommst, tippe hier für einen Hinweis.","Se ficar preso, toque para revelar uma dica.","Если застрял, нажми, чтобы увидеть подсказку.","Se ti blocchi, tocca per mostrare un indizio."
6/guide/12,Text,Guide,原来密码藏在这里，现在让我们关闭窗口去找到密码吧。,原來密碼藏在這裡，現在讓我們關閉窗口去找到密碼吧。,So that's where the password is hidden. Now let's close this window and find it.,Le mot de passe est donc caché ici. Fermons cette fenêtre pour le trouver.,パスワードはここに隠されていたのか。ウィンドウを閉じて、パスワードを見つけにいこう。,비밀번호가 여기에 숨겨져 있었군요. 이제 창을 닫고 비밀번호를 찾으러 가봅시다.,Así que la contraseña se esconde aquí. Cerremos la ventana y busquémosla.,Das Passwort ist also hier versteckt. Schließen wir das Fenster und suchen wir es.,Então a senha está escondida aqui. Vamos fechar a janela e encontrá-la.,Так вот где спрятан пароль. Закроем окно и найдем его.,Quindi la password è nascosta qui. Chiudiamo la finestra e troviamola.
6/guide/13,Text,Guide,密码应该就藏在花盆上，快拨开枯叶看看。,密碼應該就藏在花盆上，快撥開枯葉看看。,The password should be hidden on the flowerpot. Brush aside the dead leaves to check.,Le mot de passe doit être caché sur le pot de fleurs. Écarte les feuilles mortes pour vérifier.,パスワードは植木鉢にあるはずだ。枯れ葉をどけて見てみよう。,비밀번호는 화분에 숨겨져 있을 거예요. 마른 잎을 치우고 확인해 보세요.,La contraseña debería estar en la maceta. Aparta las hojas secas para mirar.,Das Passwort sollte am Blumentopf versteckt sein. Schieb die welken Blätter beiseite und sieh nach.,A senha deve estar escondida no vaso de flores. Afaste as folhas secas para verificar.,Пароль должен быть спрятан в цветочном горшке. Разгреби сухие листья и посмотри.,La password dovrebbe essere nascosta nel vaso di fiori. Sposta le foglie secche per controllare.
6/guide/14,Text,Guide,密码原来是9432，让我打开抽屉看看里面有什么。,密碼原來是9432，讓我打開抽屜看看裡面有什麼。,The password is 9432. Let me open the drawer and see what's inside.,Le mot de passe est 9432. Ouvrons le tiroir pour voir ce qu'il contient.,パスワードは9432か。引き出しを開けて中身を確認しよう。,비밀번호는 9432였군요. 서랍을 열고 안에 무엇이 있는지 확인해 봅시다.,La contraseña es 9432. Voy a abrir el cajón a ver qué hay dentro.,"Das Passwort ist 9432. Lass mich die Schublade öffnen und nachsehen, was drin ist.",A senha é 9432. Vou abrir a gaveta e ver o que tem dentro.,"Пароль — 9432. Открою ящик и посмотрю, что внутри.",La password è 9432. Fammi aprire il cassetto e vedere cosa c'è dentro.
6/reason/1,Text,Reason,黑线,黑線,Black Line,Ligne noire,黒い線,검은 선,Línea negra,Schwarze Linie,Linha Negra,Чёрная линия,Linea nera
6/reason/2,Text,Reason,狂躁马匹,狂躁馬匹,Manic Horse,Cheval frénétique,狂乱の馬,광란의 말,Caballo maníaco,Manisches Pferd,Cavalo Maníaco,Бешеная лошадь,Cavallo maniaco
6/reason/3,Text,Reason,古怪记录,古怪記錄,Strange Records,Notes étranges,奇妙な記録,기이한 기록,Registros extraños,Seltsame Aufzeichnungen,Registros Estranhos,Странные записи,Documenti strani
6/reason/4,Text,Reason,圣露庄园,聖露莊園,Saint-Lu Manor,Manoir Saint-Lu,サン・ルー荘園,성루 장원,Mansión Saint-Lu,Anwesen Saint-Lu,Mansão Saint-Lu,Поместье Сент-Лу,Maniero Saint-Lu
6/reason/5,Text,Reason,黑石,黑石,Black Stone,Pierre noire,黒い石,검은 돌,Piedra negra,Schwarzer Stein,Pedra Negra,Чёрный камень,Pietra nera
6/reason/6,Text,Reason,触手黑影,觸手黑影,Tentacle Shadow,Ombre tentaculaire,触手の影,촉수 그림자,Sombra de tentáculo,Tentakelschatten,Sombra de Tentáculo,Тень щупальца,Ombra tentacolare
6/reason/7,Text,Reason,我？,我？,Me?,Moi ?,私？,나?,¿Yo?,Ich?,Eu?,Я?,Io?
6/reason/8,Text,Reason,旧信件,舊信件,Old Letters,Vieilles lettres,古い手紙,낡은 편지,Cartas viejas,Alte Briefe,Cartas Antigas,Старые письма,Vecchie lettere
6/reason/9,Text,Reason,疯子,瘋子,Madman,Fou,狂人,광인,Loco,Wahnsinniger,Louco,Безумец,Pazzo
6/reason/10,Text,Reason,庄园异变,莊園異變,Manor Anomaly,Anomalie du manoir,荘園の異変,장원의 이변,Anomalía de la mansión,Anomalie im Anwesen,Anomalia da Mansão,Аномалия поместья,Anomalia del maniero
6/reason/11,Text,Reason,怪物,怪物,Monster,Monstre,怪物,괴물,Monstruo,Monster,Monstro,Монстр,Mostro
6/reason/12,Text,Reason,影子,影子,"Shadow,",Ombre,影,그림자,Sombra,Schatten,Sombra,Тень,Ombra
6/reason/13,Text,Reason,诡异的眼睛,詭異的眼睛,Eerie Eye,Œil étrange,不気味な目,기이한 눈,Ojo espeluznante,Unheimliches Auge,"Olho Estranho,",Жуткий глаз,Occhio inquietante
6/reason/14,Text,Reason,威尔,威爾,Will,Will,ウィル,윌,Will,Will,Will,Уилл,Will
6/reason/15,Text,Reason,疯子,瘋子,Madman,Fou,狂人,광인,Loco,Wahnsinniger,Louco,Безумец,Pazzo
6/reason/16,Text,Reason,黑石,黑石,Black Stone,Pierre noire,"黒い石,",검은 돌,Piedra negra,Schwarzer Stein,Pedra Negra,Чёрный камень,Pietra nera
6/reason/17,Text,Reason,圣器,聖器,Sacred Relic,Relique sacrée,聖器,성물,Reliquia sagrada,Heiliges Relikt,Relíquia Sagrada,Священная реликвия,Reliquia sacra
6/reason/18,Text,Reason,马纳人,馬納人,The Mana,Peuple Mana,マナ人,마나인,Los Mana,Das Mana-Volk,Os Mana,Народ Мана,Il popolo Mana
6/reason/19,Text,Reason,复活,復活,Resurrection,Résurrection,復活,부활,Resurrección,Auferstehung,Ressurreição,Воскрешение,Resurrezione
6/reason/20,Text,Reason,尸骨,屍骨,Skeleton,Squelette,骸骨,해골,Esqueleto,Skelett,Esqueleto,Скелет,Scheletro
6/reason/21,Text,Reason,新鲜尸体,新鮮屍體,Fresh Corpse,Cadavre frais,新鮮な死体,신선한 시체,Cadáver reciente,Frische Leiche,Cadáver fresco,Свежий труп,Cadavere fresco
6/reason/22,Text,Reason,马纳遗骸,馬納遺骸,Mana Remains,Restes de Mana,マナの遺骸,마나의 유해,Restos de Mana,Mana-Überreste,Restos de Mana,Останки Мана,Resti di Mana
6/reason/23,Text,Reason,怪物,怪物,Monster,Monstre,モンスター,괴물,Monstruo,Monster,Monstro,Монстр,Mostro
6/reason/24,Text,Reason,卵,卵,Incubation Vessel,Vase d’incubation,孵卵（ふらん）,배태체,Vasija de incubación,Inkubationsgefäß,Vaso de incubação,Инкубационный сосуд,Recipiente d’incubazione
6/reason/25,Text,Reason,堕落眷属,墮落眷屬,Fallen Kin,Rejetons déchus,堕落した眷属,타락한 권속,Vástagos caídos,Gefallene Brut,Parentes Caídos,Падшие сородичи,Progenie caduta
6/ClueTitle/1,Text,Clue,噩梦初醒,噩夢初醒,Waking from the Nightmare,Réveil du cauchemar,悪夢からの目覚め,악몽에서 깨어남,Despertar de la pesadilla,Erwachen aus dem Albtraum,Despertar do Pesadelo,Пробуждение от кошмара,
6/ClueTitle/2,Text,Clue,记忆断层,記憶斷層,Memory Gap,Lacune mémorielle,記憶の断層,기억의 단층,Vacío de memoria,Erinnerungslücke,Lacuna de Memória,Провал в памяти,
6/ClueTitle/3,Text,Clue,另一个我,另一個我,Another Me,Un autre moi,もう一人の私,또 다른 나,Otro yo,Ein anderes Ich,Um Outro Eu,Другой я,
6/ClueTitle/4,Text,Clue,影子,影子,Shadow,Ombre,影,그림자,Sombra,Schatten,Sombra,Тень,
6/ClueTitle/5,Text,Clue,禁忌,禁忌,Taboo,Tabou,禁忌,금기,Tabú,Tabu,Tabu,Табу,
6/ClueTitle/6,Text,Clue,虚假复生,虛假復生,False Resurrection,Fausse résurrection,偽りの復生,거짓된 소생,Falsa resurrección,Falsche Wiederkehr,Falsa Ressurreição,Ложное воскрешение,
6/ClueTitle/7,Text,Clue,尸骸铁证,屍骸鐵證,Corpse as Proof,Preuve par le cadavre,屍骸の鉄証,시신이 증거다,El cadáver como prueba,Leiche als Beweis,O Cadáver como Prova,Труп как неопровержимое доказательство,
6/ClueTitle/8,Text,Clue,豪赌,豪賭,A Desperate Gamble,Pari insensé,大博打,큰 도박,Apuesta desesperada,Verzweifeltes Wagnis,Uma Aposta Desesperada,Отчаянная ставка,
6/ClueDes/1,Text,,"       圣露庄园的诡异传闻并非空穴来风。我和威尔遭遇了无法解释的超自然现象。那些从天空垂下的黑色丝线……至今仍在我眼前挥之不去，希望那真的只是个噩梦，但侦探的直觉告诉我...一切才刚刚开始。","       聖露莊園的詭異傳聞並非空穴來風。我和威爾遭遇了無法解釋的超自然現象。那些從天空垂下的黑色絲線……至今仍在我眼前揮之不去，希望那真的只是個噩夢，但偵探的直覺告訴我...一切才剛剛開始。","       The sinister rumors surrounding Saint Dew Manor were not born of nothing. Will and I encountered supernatural phenomena beyond explanation. Those black threads hanging down from the sky... I still cannot banish them from my sight. I hope it was all just a nightmare, but my detective’s instinct tells me... this is only the beginning.","       Les rumeurs inquiétantes qui entourent le manoir Sainte-Rosée ne sortaient pas de nulle part. Will et moi avons été confrontés à des phénomènes surnaturels impossibles à expliquer. Ces fils noirs suspendus au ciel... je les ai encore devant les yeux. J’espère que ce n’était qu’un cauchemar, mais mon instinct de détective me dit que... tout cela ne fait que commencer.","       聖露荘園をめぐる不気味な噂は、根も葉もない話ではなかった。ウィルと私は、説明のつかない超常現象に遭遇した。空から垂れ下がるあの黒い糸……今もなお、目に焼きついて離れない。あれがただの悪夢であってほしい。だが、探偵としての勘が告げている……すべてはまだ始まったばかりだと。","       성로 저택을 둘러싼 기괴한 소문은 근거 없는 이야기가 아니었다. 윌과 나는 설명할 수 없는 초자연적 현상을 마주했다. 하늘에서 늘어뜨려진 그 검은 실들... 아직도 눈앞에서 지워지지 않는다. 그저 악몽이었기를 바라지만, 탐정으로서의 직감이 말한다... 모든 것은 이제 막 시작되었을 뿐이라고.","       Los siniestros rumores sobre la Mansión Saint Dew no eran infundados. Will y yo nos topamos con fenómenos sobrenaturales imposibles de explicar. Esos hilos negros que colgaban del cielo... todavía no consigo apartarlos de mi vista. Ojalá de verdad no haya sido más que una pesadilla, pero mi instinto de detective me dice... que esto apenas acaba de empezar.","       Die unheimlichen Gerüchte über das Anwesen Saint Dew kamen nicht von ungefähr. Will und ich sind auf übernatürliche Phänomene gestoßen, die sich nicht erklären lassen. Diese schwarzen Fäden, die vom Himmel herabhingen... ich bekomme sie noch immer nicht aus dem Kopf. Ich hoffe, es war wirklich nur ein Albtraum, aber mein Detektivinstinkt sagt mir... dass alles gerade erst begonnen hat.","       Os rumores sinistros sobre a Mansão Saint Dew não surgiram do nada. Will e eu nos deparamos com fenômenos sobrenaturais impossíveis de explicar. Aquelas linhas negras pendendo do céu... até agora não saem da minha frente. Espero que tenha sido apenas um pesadelo, mas meu instinto de detetive me diz... que tudo isso está só começando.","       Зловещие слухи о поместье Сент-Дью возникли не на пустом месте. Мы с Уиллом столкнулись с необъяснимыми сверхъестественными явлениями. Эти чёрные нити, свисающие с неба... до сих пор стоят у меня перед глазами. Хочется верить, что это был всего лишь кошмар, но чутьё сыщика подсказывает мне... всё только начинается.",
6/ClueDes/2,Text,,"       艾拉证实了我的经历，而我的笔迹也证实我去过圣露庄园。好消息是，威尔的来信证明他还活着；坏消息是，我的记忆像被切碎了一样，竟然连我自己的保险柜都能忘","       艾拉證實了我的經歷，而我的筆跡也證實我去過聖露莊園。好消息是，威爾的來信證明他還活著；壞消息是，我的記憶像被切碎了一樣，竟然連我自己的保險櫃都能忘","       Ella confirmed what I went through, and my own handwriting proves that I did go to Saint Dew Manor. The good news is that Will’s letter proves he is still alive. The bad news is that my memory feels as though it has been chopped to pieces—I even forgot the combination to my own safe.","       Ella a confirmé ce que j’ai vécu, et mon écriture prouve elle aussi que je suis bien allé au manoir Sainte-Rosée. La bonne nouvelle, c’est que la lettre de Will prouve qu’il est encore en vie ; la mauvaise, c’est que ma mémoire semble avoir été mise en pièces—au point que j’en ai oublié jusqu’à mon propre coffre-fort.","       エラが私の体験を裏づけ、さらに自分の筆跡までもが、私が聖露荘園へ行った事実を示していた。朗報は、ウィルからの手紙で彼がまだ生きていると分かったこと。悪い知らせは、私の記憶がまるで切り刻まれたように断片化していて、自分の金庫のことさえ忘れていたことだ。","       아일라는 내가 겪은 일을 확인해 주었고, 내 필체 역시 내가 성로 저택에 갔었다는 사실을 증명했다. 좋은 소식은 윌의 편지가 그가 아직 살아 있음을 보여 준다는 점이다. 나쁜 소식은 내 기억이 산산이 잘려 나간 것 같아서, 심지어 내 금고조차 잊어버렸다는 것이다.","       Ella confirmó lo que viví, y mi propia letra también demuestra que estuve en la Mansión Saint Dew. La buena noticia es que la carta de Will prueba que sigue con vida; la mala es que mi memoria parece haber sido hecha pedazos; incluso fui capaz de olvidar hasta mi propia caja fuerte.","       Ella bestätigte, was ich erlebt habe, und auch meine eigene Handschrift beweist, dass ich auf dem Anwesen Saint Dew war. Die gute Nachricht: Wills Brief beweist, dass er noch lebt. Die schlechte Nachricht: Mein Gedächtnis fühlt sich an, als wäre es in Stücke geschnitten worden—ich habe sogar meinen eigenen Safe vergessen.","       Ella confirmou o que vivi, e minha própria caligrafia também prova que estive na Mansão Saint Dew. A boa notícia é que a carta de Will prova que ele ainda está vivo; a má notícia é que minha memória parece ter sido cortada em pedaços—ao ponto de eu esquecer até meu próprio cofre.","       Элла подтвердила то, что со мной произошло, а мой собственный почерк доказал, что я действительно был в поместье Сент-Дью. Хорошая новость: письмо Уилла подтверждает, что он ещё жив. Плохая новость: моя память словно разрезана на куски — я умудрился забыть даже о собственном сейфе.",
6/ClueDes/3,Text,,"       信件和邮箱的陈旧程度极不合理。坠崖仅仅几天，这些物件却像经历了数年风霜，而且营地的疯子总给我一种熟悉的感觉.....还有望远镜看到的另一个....我，（深呼吸）...呵呵，我可能真的疯了！","       信件和郵箱的陳舊程度極不合理。墜崖僅僅幾天，這些物件卻像經歷了數年風霜，而且營地的瘋子總給我一種熟悉的感覺.....還有望遠鏡看到的另一個....我，（深呼吸）...呵呵，我可能真的瘋了！","       The state of decay of the letters and the mailbox makes no sense at all. I only fell from the cliff a few days ago, yet these things look as though they have weathered years. And that madman at the camp feels strangely familiar..... Then there was the other... me, seen through the telescope. (Deep breath)... heh, perhaps I really have gone mad!","       L’état de vétusté des lettres et de la boîte aux lettres est totalement absurde. Cela ne fait que quelques jours depuis ma chute, et pourtant ces objets semblent avoir subi des années d’usure. Et ce fou au camp m’inspire toujours une étrange impression de familiarité..... Sans parler de cet autre.... moi, aperçu dans la longue-vue. (Grande inspiration)... hehe, je suis peut-être vraiment devenu fou !","       手紙と郵便受けの古び方は、どう考えても不自然だ。崖から落ちてまだ数日しか経っていないのに、それらはまるで何年も風雨にさらされてきたかのようだった。それに、キャンプのあの狂人には妙な既視感がある.....そして望遠鏡で見た、もう一人の....私。（深呼吸）...はは、どうやら本当に気が狂ったのかもしれない！","       편지와 우편함의 낡은 정도는 도무지 말이 되지 않는다. 절벽에서 떨어진 지 겨우 며칠뿐인데, 이 물건들은 마치 몇 년의 풍파를 겪은 것처럼 보인다. 게다가 야영지의 그 미치광이는 자꾸만 묘한 익숙함을 준다..... 그리고 망원경으로 본 또 다른.... 나. (심호흡)... 하하, 어쩌면 나는 정말 미쳐 버린 건지도 모르겠다!","       El grado de deterioro de las cartas y del buzón es completamente absurdo. Apenas han pasado unos días desde mi caída por el acantilado, y sin embargo esos objetos parecen haber soportado años de intemperie. Además, ese loco del campamento me resulta inquietantemente familiar..... Y luego está ese otro.... yo, que vi a través del telescopio. (Respira hondo)... je, puede que de verdad me haya vuelto loco.","       Der Grad der Verwitterung von Briefen und Briefkasten ist völlig unbegreiflich. Seit meinem Sturz von der Klippe sind erst ein paar Tage vergangen, und doch sehen diese Dinge aus, als hätten sie Jahre überdauert. Außerdem kommt mir der Verrückte im Lager seltsam vertraut vor..... Und dann war da noch der andere.... ich, den ich durch das Fernrohr gesehen habe. (Tief durchatmen)... heh, vielleicht bin ich wirklich verrückt geworden!","       O estado de desgaste das cartas e da caixa de correio não faz o menor sentido. Faz só alguns dias que caí do penhasco, e ainda assim esses objetos parecem ter passado por anos de intempérie. Além disso, o louco do acampamento sempre me dá uma estranha sensação de familiaridade..... E ainda tem aquele outro.... eu, que vi pelo telescópio. (Respira fundo)... hehe, talvez eu tenha enlouquecido de verdade!","       Степень ветхости писем и почтового ящика совершенно нелепа. С момента падения со скалы прошло всего несколько дней, а эти вещи выглядят так, будто пережили годы непогоды. И этот безумец в лагере всё время кажется мне смутно знакомым..... А ещё тот другой.... я, которого я увидел в подзорную трубу. (Глубокий вдох)... хех, возможно, я и правда схожу с ума!",
6/ClueDes/4,Text,,"       霍恩伯格的记录令人战栗.....那个位置的存在以记忆为食，将受害者分裂成一个个“影子” ，这或许就是我失忆的原因！更令人毛骨悚然的是——那些怪物的面孔竟然与我有几分相似。难道……我也只是众多“影子”中的一个？","       霍恩伯格的記錄令人戰慄.....那個位置的存在以記憶為食，將受害者分裂成一個個「影子」 ，這或許就是我失憶的原因！更令人毛骨悚然的是——那些怪物的面孔竟然與我有幾分相似。難道……我也只是眾多「影子」中的一個？","       Hornberg’s records are chilling..... The being in that place feeds on memory, splitting its victims into “Shadows.” That may well be the reason for my amnesia! More horrifying still—those creatures bear faces somewhat like mine. Could it be... that I am merely one of many “Shadows” as well?","       Les notes de Hornberg glacent le sang..... L’existence tapie en ce lieu se nourrit de la mémoire et morcelle ses victimes en autant d’« Ombres ». C’est peut-être la raison de mon amnésie ! Plus terrifiant encore : le visage de ces monstres présente une troublante ressemblance avec le mien. Serait-il possible que... je ne sois moi aussi que l’une des nombreuses « Ombres » ?","       ホルンベルクの記録は身の毛もよだつ内容だった.....あの場所にいる存在は記憶を喰らい、犠牲者をいくつもの「影」へと分裂させる。これこそ、私の記憶喪失の原因なのかもしれない！さらに恐ろしいことに——あの怪物たちの顔は、どこか私に似ていた。まさか……私もまた、数多の「影」の一つにすぎないのか？","       혼베르크의 기록은 소름이 돋는다..... 그곳의 존재는 기억을 먹고, 희생자들을 하나하나의 “그림자”로 분열시킨다. 어쩌면 그것이야말로 내 기억상실의 원인일지도 모른다! 더욱 섬뜩한 것은—그 괴물들의 얼굴이 어딘가 나와 닮아 있다는 점이다. 설마…… 나 역시 수많은 “그림자” 중 하나에 불과한 걸까?","       Los registros de Hornberg son escalofriantes..... La entidad de ese lugar se alimenta de la memoria y divide a sus víctimas en múltiples “Sombras”. ¡Puede que esa sea la causa de mi amnesia! Y lo más espantoso de todo es que los rostros de esas criaturas se parecen un poco al mío. ¿Acaso... yo también no seré más que una de tantas “Sombras”?","       Hornbergs Aufzeichnungen sind erschütternd..... Das Wesen an jenem Ort nährt sich von Erinnerungen und spaltet seine Opfer in einzelne „Schatten“. Das könnte der Grund für meinen Gedächtnisverlust sein! Noch schauderhafter ist jedoch, dass die Gesichter dieser Kreaturen meinem eigenen ähneln. Sollte es sein... dass auch ich nur einer von vielen „Schatten“ bin?","       Os registros de Hornberg são de gelar o sangue..... A entidade daquele lugar se alimenta de memória, dividindo suas vítimas em várias “Sombras”. Talvez essa seja a causa da minha amnésia! Mais aterrorizante ainda é o fato de que os rostos daqueles monstros se parecem, em certa medida, com o meu. Será que... eu também sou apenas uma entre muitas “Sombras”?","       Записи Хорнберга леденят кровь..... Существо в том месте питается памятью, раскалывая жертв на отдельных «Теней». Возможно, именно в этом причина моей амнезии! Но ещё страшнее другое — лица этих чудовищ чем-то похожи на моё. Неужели... и я всего лишь одна из множества «Теней»?",
